Overall_Position,Gender_Position,Category_Position,Category,Race_No,Country ,Official_Time,Net_Time,tenkm_Time,Half_Way_Time,thirtykm_Time
1,1,1,MR1,A0066,Ireland,10265,10262,2330,4995,7184
2,2,2,MR1,A6190,Hong Kong SAR,10444,10437,2375,5049,7224
3,3,3,MR1,A4491,China,10714,10648,2453,5223,7442
4,4,4,MR1,A8955,China,11014,11008,2572,5434,7716
5,5,5,MR1,A5879,China,11090,11089,2442,5251,7568
7,7,7,MR1,A4511,United Kingdom,11368,11332,2604,5499,7846
8,8,8,MR1,A8213,China,11446,11382,2828,5770,8134
9,1,9,MR1,A5526,United States,11526,11426,2901,5812,8184
10,9,10,MR1,A7725,China,11602,11599,2569,5476,7911
11,10,11,MR1,A6025,China,11606,11599,2802,5790,8148
12,11,12,MR1,A5456,China,11612,11604,2747,5814,8180
13,12,13,MR1,A1260,Hong Kong SAR,11710,11702,2795,5799,8208
14,13,14,MR1,A2801,Hong Kong SAR,11711,11704,2559,5429,7813
15,14,15,MR1,A4932,China,11731,11729,2737,5755,8171
16,15,16,MR1,A4629,Hong Kong SAR,11755,11632,2903,5813,8211
17,16,17,MR1,A3193,Hong Kong SAR,11857,11854,2636,5584,8090
18,17,18,MR1,A8875,China,11888,11887,2732,5717,8184
19,18,19,MR1,A8683,China,11926,11913,2791,5862,8342
20,19,20,MR1,A6327,Macao SAR,11944,11931,2853,6097,8529
21,20,21,MR1,A1821,Hong Kong SAR,11951,11823,2899,5816,8214
22,21,22,MR1,A7607,China,11955,11931,2619,5485,7924
23,22,23,MR1,A6167,Hong Kong SAR,12056,12015,2757,5798,8310
24,23,24,MR1,A5202,Sweden,12179,12083,2894,5973,8435
25,24,25,MR1,A5610,Hong Kong SAR,12212,12208,2900,6063,8601
26,25,26,MR1,A0559,Hong Kong SAR,12222,12216,2865,6111,8717
28,27,28,MR1,A0909,Hong Kong SAR,12226,12221,2881,6030,8564
29,28,29,MR1,A0212,Hong Kong SAR,12252,12230,2766,5926,8518
30,29,30,MR1,A5170,China,12268,12267,2292,4877,6991
31,30,31,MR1,A2743,Ireland,12282,12277,2836,6004,8646
33,32,33,MR1,A7890,China,12293,12278,2973,6285,8811
34,33,34,MR1,A2417,China,12307,12302,2924,6101,8695
35,34,35,MR1,A0051,Hong Kong SAR,12328,12297,2904,6002,8535
36,35,36,MR1,A6553,Singapore,12332,12314,2891,5983,8450
37,36,37,MR1,A7507,China,12347,12278,3068,6268,8763
38,37,38,MR1,A4607,China,12349,12344,2822,5998,8656
39,38,39,MR1,A7767,China,12352,12330,3000,6110,8622
40,39,40,MR1,A1145,China,12352,12319,3085,6321,8859
41,40,41,MR1,A6719,Hong Kong SAR,12362,12345,2769,5806,8421
42,41,42,MR1,A0957,Hong Kong SAR,12364,12337,2879,6031,8535
43,42,43,MR1,A5951,China,12388,12355,2818,5975,8557
44,43,44,MR1,A3863,Hong Kong SAR,12399,12392,2865,6066,8641
45,44,45,MR1,A2048,United Kingdom,12421,12176,3118,6268,8761
46,45,46,MR1,A7812,Hong Kong SAR,12439,12426,2842,5998,8627
47,46,47,MR1,A2665,Hong Kong SAR,12440,12399,2832,5836,8408
48,47,48,MR1,A5207,China,12460,12357,3009,6142,8714
49,48,49,MR1,A7093,China,12483,12435,2831,5770,8361
50,49,50,MR1,A0983,China,12495,12490,2911,6030,8584
51,50,51,MR1,A4701,Hong Kong SAR,12498,12468,2998,6129,8670
52,51,52,MR1,A1004,Hong Kong SAR,12504,12500,2663,5641,8273
53,52,53,MR1,A7197,Hong Kong SAR,12509,12507,2897,6183,8819
54,53,54,MR1,A4150,China,12515,12492,3057,6315,8812
55,54,55,MR1,A7508,China,12523,12478,3001,6209,8830
56,55,56,MR1,A4404,China,12525,12410,3197,6324,8831
58,57,58,MR1,A3799,China,12539,12483,3016,6209,8775
59,58,59,MR1,A6284,Hong Kong SAR,12551,12549,2843,6064,8699
60,59,60,MR1,A7367,Hong Kong SAR,12566,12556,2892,6094,8749
61,60,61,MR1,A4537,Hong Kong SAR,12572,12566,3060,6366,8957
62,61,62,MR1,A2859,Hong Kong SAR,12588,12428,3256,6394,8921
63,62,63,MR1,A4112,United Kingdom,12601,12588,2942,6208,8787
64,63,64,MR1,A3671,Hong Kong SAR,12605,12603,2930,6164,8871
65,64,65,MR1,A4813,China,12629,12625,2821,6060,8750
66,65,66,MR1,A1882,Hong Kong SAR,12633,12627,2604,5763,8538
67,66,67,MR1,A8436,Hong Kong SAR,12644,12618,2767,5819,8496
68,67,68,MR1,A5961,China,12647,12640,3023,6343,8956
69,68,69,MR1,A2606,Hong Kong SAR,12650,12630,2895,6067,8741
70,69,70,MR1,A6080,China,12651,12647,2881,6032,8615
71,70,71,MR1,A4594,Hong Kong SAR,12665,12622,3086,6444,9080
72,71,72,MR1,A1122,Spain,12669,12659,2945,6278,8913
73,72,73,MR1,A5491,China,12675,12641,2963,6167,8773
74,73,74,MR1,A6204,China,12683,12492,3265,6475,9036
75,74,75,MR1,A4911,China,12688,12673,3037,6302,8971
76,75,76,MR1,A2480,China,12722,12717,2718,5882,8555
77,76,77,MR1,A1107,Hong Kong SAR,12724,12714,2876,6153,8828
78,77,78,MR1,A2265,Hong Kong SAR,12736,12691,2893,6200,8941
79,78,79,MR1,A1863,China,12739,12729,3010,6339,8960
80,79,80,MR1,A8784,Japan,12744,12738,3006,6322,8960
81,80,81,MR1,A3386,Hong Kong SAR,12755,12748,2818,5992,8624
82,81,82,MR1,A5768,China,12755,12716,3109,6399,9034
83,82,83,MR1,A7783,China,12757,12623,3167,6393,8954
84,83,84,MR1,A6221,Hong Kong SAR,12795,12691,3131,6407,9011
85,84,85,MR1,A6278,Hong Kong SAR,12801,12797,3171,6352,8904
86,85,86,MR1,A7488,Hong Kong SAR,12803,12800,2864,5973,8587
87,86,87,MR1,A5157,China,12809,12761,3120,6416,9169
88,87,88,MR1,A8647,China,12821,12820,2881,6102,8832
89,88,89,MR1,A8797,Japan,12822,12789,2960,6201,8797
90,89,90,MR1,A6845,China,12825,12699,3221,6432,8978
91,90,91,MR1,A7126,Hong Kong SAR,12833,12697,2775,5816,8597
92,91,92,MR1,A6854,United Arab Emirates,12847,12838,2801,5915,8548
93,92,93,MR1,A6197,Hong Kong SAR,12874,12868,2894,6151,8840
94,93,94,MR1,A3487,Hong Kong SAR,12877,12771,3282,6540,9068
95,2,95,MR1,A0250,Hong Kong SAR,12884,12748,3417,6748,9314
96,94,96,MR1,A8669,Japan,12898,12850,3093,6301,8873
97,95,97,MR1,A2474,The Netherlands,12906,12901,2941,6182,8814
98,96,98,MR1,A6758,Singapore,12907,12894,2916,6238,8927
99,97,99,MR1,A8926,China,12908,12900,2890,6184,8913
100,98,100,MR1,A1244,China,12910,12562,3371,6557,9090
101,3,101,MR1,A3375,Hong Kong SAR,12914,12900,2882,6164,8954
102,99,102,MR1,A2928,Hong Kong SAR,12929,12925,2777,5928,8599
103,100,103,MR1,A5507,Hong Kong SAR,12935,12865,3046,6241,8878
104,4,104,MR1,A6743,China,12941,12939,3056,6453,9127
105,101,105,MR1,A1487,Malaysia,12942,12643,3431,6748,9406
107,102,107,MR1,A8622,China,12949,12942,2921,6200,8892
108,103,108,MR1,A3010,Hong Kong SAR,12962,12760,3435,6706,9249
109,104,109,MR1,A4175,Hong Kong SAR,12968,12965,3005,6278,8966
