Overall_Position,Gender_Position,Category_Position,Category,Race_No,Country ,Official_Time,Net_Time,tenkm_Time,Half_Way_Time,thirtykm_Time
1,1,1,MR1,A0066,Ireland,02:51:05,02:51:02,00:38:50,01:23:15,01:59:44
2,2,2,MR1,A6190,Hong Kong SAR,02:54:04,02:53:57,00:39:35,01:24:09,02:00:24
3,3,3,MR1,A4491,China,02:58:34,02:57:28,00:40:53,01:27:03,02:04:02
4,4,4,MR1,A8955,China,03:03:34,03:03:28,00:42:52,01:30:34,02:08:36
5,5,5,MR1,A5879,China,03:04:50,03:04:49,00:40:42,01:27:31,02:06:08
6,6,6,MR1,A1000,China,03:09:24,03:09:23,00:45:05,01:34:01,
7,7,7,MR1,A4511,United Kingdom,03:09:28,03:08:52,00:43:24,01:31:39,02:10:46
8,8,8,MR1,A8213,China,03:10:46,03:09:42,00:47:08,01:36:10,02:15:34
9,1,9,MR1,A5526,United States,03:12:06,03:10:26,00:48:21,01:36:52,02:16:24
10,9,10,MR1,A7725,China,03:13:22,03:13:19,00:42:49,01:31:16,02:11:51
11,10,11,MR1,A6025,China,03:13:26,03:13:19,00:46:42,01:36:30,02:15:48
12,11,12,MR1,A5456,China,03:13:32,03:13:24,00:45:47,01:36:54,02:16:20
13,12,13,MR1,A1260,Hong Kong SAR,03:15:10,03:15:02,00:46:35,01:36:39,02:16:48
14,13,14,MR1,A2801,Hong Kong SAR,03:15:11,03:15:04,00:42:39,01:30:29,02:10:13
15,14,15,MR1,A4932,China,03:15:31,03:15:29,00:45:37,01:35:55,02:16:11
16,15,16,MR1,A4629,Hong Kong SAR,03:15:55,03:13:52,00:48:23,01:36:53,02:16:51
17,16,17,MR1,A3193,Hong Kong SAR,03:17:37,03:17:34,00:43:56,01:33:04,02:14:50
18,17,18,MR1,A8875,China,03:18:08,03:18:07,00:45:32,01:35:17,02:16:24
19,18,19,MR1,A8683,China,03:18:46,03:18:33,00:46:31,01:37:42,02:19:02
20,19,20,MR1,A6327,Macao SAR,03:19:04,03:18:51,00:47:33,01:41:37,02:22:09
21,20,21,MR1,A1821,Hong Kong SAR,03:19:11,03:17:03,00:48:19,01:36:56,02:16:54
22,21,22,MR1,A7607,China,03:19:15,03:18:51,00:43:39,01:31:25,02:12:04
23,22,23,MR1,A6167,Hong Kong SAR,03:20:56,03:20:15,00:45:57,01:36:38,02:18:30
24,23,24,MR1,A5202,Sweden,03:22:59,03:21:23,00:48:14,01:39:33,02:20:35
25,24,25,MR1,A5610,Hong Kong SAR,03:23:32,03:23:28,00:48:20,01:41:03,02:23:21
26,25,26,MR1,A0559,Hong Kong SAR,03:23:42,03:23:36,00:47:45,01:41:51,02:25:17
27,26,27,MR1,A7530,Hong Kong SAR,03:23:45,03:23:44,,01:34:59,02:17:06
28,27,28,MR1,A0909,Hong Kong SAR,03:23:46,03:23:41,00:48:01,01:40:30,02:22:44
29,28,29,MR1,A0212,Hong Kong SAR,03:24:12,03:23:50,00:46:06,01:38:46,02:21:58
30,29,30,MR1,A5170,China,03:24:28,03:24:27,00:38:12,01:21:17,01:56:31
31,30,31,MR1,A2743,Ireland,03:24:42,03:24:37,00:47:16,01:40:04,02:24:06
32,31,32,MR1,A7852,Hong Kong SAR,03:24:44,03:24:38,,01:29:58,02:12:50
33,32,33,MR1,A7890,China,03:24:53,03:24:38,00:49:33,01:44:45,02:26:51
34,33,34,MR1,A2417,China,03:25:07,03:25:02,00:48:44,01:41:41,02:24:55
35,34,35,MR1,A0051,Hong Kong SAR,03:25:28,03:24:57,00:48:24,01:40:02,02:22:15
36,35,36,MR1,A6553,Singapore,03:25:32,03:25:14,00:48:11,01:39:43,02:20:50
37,36,37,MR1,A7507,China,03:25:47,03:24:38,00:51:08,01:44:28,02:26:03
38,37,38,MR1,A4607,China,03:25:49,03:25:44,00:47:02,01:39:58,02:24:16
39,38,39,MR1,A7767,China,03:25:52,03:25:30,00:50:00,01:41:50,02:23:42
40,39,40,MR1,A1145,China,03:25:52,03:25:19,00:51:25,01:45:21,02:27:39
41,40,41,MR1,A6719,Hong Kong SAR,03:26:02,03:25:45,00:46:09,01:36:46,02:20:21
42,41,42,MR1,A0957,Hong Kong SAR,03:26:04,03:25:37,00:47:59,01:40:31,02:22:15
43,42,43,MR1,A5951,China,03:26:28,03:25:55,00:46:58,01:39:35,02:22:37
44,43,44,MR1,A3863,Hong Kong SAR,03:26:39,03:26:32,00:47:45,01:41:06,02:24:01
45,44,45,MR1,A2048,United Kingdom,03:27:01,03:22:56,00:51:58,01:44:28,02:26:01
46,45,46,MR1,A7812,Hong Kong SAR,03:27:19,03:27:06,00:47:22,01:39:58,02:23:47
47,46,47,MR1,A2665,Hong Kong SAR,03:27:20,03:26:39,00:47:12,01:37:16,02:20:08
48,47,48,MR1,A5207,China,03:27:40,03:25:57,00:50:09,01:42:22,02:25:14
49,48,49,MR1,A7093,China,03:28:03,03:27:15,00:47:11,01:36:10,02:19:21
50,49,50,MR1,A0983,China,03:28:15,03:28:10,00:48:31,01:40:30,02:23:04
51,50,51,MR1,A4701,Hong Kong SAR,03:28:18,03:27:48,00:49:58,01:42:09,02:24:30
52,51,52,MR1,A1004,Hong Kong SAR,03:28:24,03:28:20,00:44:23,01:34:01,02:17:53
53,52,53,MR1,A7197,Hong Kong SAR,03:28:29,03:28:27,00:48:17,01:43:03,02:26:59
54,53,54,MR1,A4150,China,03:28:35,03:28:12,00:50:57,01:45:15,02:26:52
55,54,55,MR1,A7508,China,03:28:43,03:27:58,00:50:01,01:43:29,02:27:10
56,55,56,MR1,A4404,China,03:28:45,03:26:50,00:53:17,01:45:24,02:27:11
57,56,57,MR1,A0493,Hong Kong SAR,03:28:53,03:28:32,,01:45:18,02:28:46
58,57,58,MR1,A3799,China,03:28:59,03:28:03,00:50:16,01:43:29,02:26:15
59,58,59,MR1,A6284,Hong Kong SAR,03:29:11,03:29:09,00:47:23,01:41:04,02:24:59
60,59,60,MR1,A7367,Hong Kong SAR,03:29:26,03:29:16,00:48:12,01:41:34,02:25:49
61,60,61,MR1,A4537,Hong Kong SAR,03:29:32,03:29:26,00:51:00,01:46:06,02:29:17
62,61,62,MR1,A2859,Hong Kong SAR,03:29:48,03:27:08,00:54:16,01:46:34,02:28:41
63,62,63,MR1,A4112,United Kingdom,03:30:01,03:29:48,00:49:02,01:43:28,02:26:27
64,63,64,MR1,A3671,Hong Kong SAR,03:30:05,03:30:03,00:48:50,01:42:44,02:27:51
65,64,65,MR1,A4813,China,03:30:29,03:30:25,00:47:01,01:41:00,02:25:50
